zip_code,median_household_income,vehicle_count,P1_001N
98579,77108.0,140.0,13648.0
98580,80864.0,156.0,12164.0
98581,29960.0,2.0,421.0
98583,41964.0,1.0,144.0
98584,60388.0,507.0,39266.0
98585,53125.0,9.0,826.0
98586,45446.0,7.0,1981.0
98587,39821.0,6.0,1186.0
98588,60781.0,37.0,1970.0
98589,70040.0,115.0,8091.0
98590,90898.0,8.0,376.0
98591,64919.0,42.0,4419.0
98592,68371.0,61.0,2090.0
98593,46850.0,11.0,1185.0
98595,53750.0,35.0,2995.0
98596,64896.0,76.0,6990.0
98597,73664.0,371.0,27233.0
98601,85000.0,23.0,3312.0
98602,36250.0,0.0,250.0
98603,61875.0,22.0,1018.0
98604,86980.0,720.0,38245.0
98605,71458.0,11.0,1267.0
98606,105417.0,364.0,9868.0
98607,109621.0,1949.0,35054.0
98610,58574.0,27.0,3017.0
98611,64829.0,104.0,10165.0
98612,56250.0,58.0,3032.0
98613,68500.0,4.0,543.0
98614,40323.0,3.0,651.0
98616,64250.0,2.0,200.0
98617,57772.0,13.0,1183.0
98619,48889.0,1.0,465.0
98620,48522.0,38.0,7655.0
98621,61979.0,3.0,253.0
98624,51786.0,19.0,1305.0
98625,92770.0,148.0,7413.0
98626,59058.0,228.0,26291.0
98628,35125.0,1.0,356.0
98629,100275.0,239.0,9586.0
98631,46186.0,54.0,3704.0
98632,51188.0,414.0,50721.0
98635,50134.0,32.0,1865.0
98638,49929.0,21.0,1555.0
98639,73145.0,14.0,1397.0
98640,49600.0,84.0,5140.0
98642,97288.0,1153.0,23685.0
98643,86458.0,3.0,403.0
98644,24821.0,6.0,887.0
98645,79821.0,31.0,1811.0
98648,63750.0,57.0,3075.0
98649,54087.0,6.0,1134.0
98650,61964.0,34.0,1158.0
98651,107188.0,37.0,872.0
98660,50407.0,389.0,12735.0
98661,59466.0,798.0,48983.0
98662,71059.0,671.0,37134.0
98663,62835.0,305.0,15188.0
98664,67007.0,469.0,24120.0
98665,69524.0,594.0,28780.0
98670,25417.0,3.0,113.0
98671,91505.0,711.0,24857.0
98672,68594.0,232.0,7370.0
98673,31250.0,1.0,371.0
98674,75487.0,233.0,14415.0
98675,78047.0,67.0,7688.0
98682,76299.0,1278.0,65434.0
98683,71835.0,898.0,33884.0
98684,71667.0,659.0,33659.0
98685,106059.0,960.0,29797.0
98686,86543.0,704.0,21462.0
98801,62595.0,543.0,44970.0
98802,71093.0,349.0,32378.0
98811,89609.0,0.0,76.0
98812,47717.0,24.0,5161.0
98813,48500.0,3.0,2769.0
98814,53298.0,6.0,525.0
98815,61672.0,95.0,7804.0
98816,56582.0,199.0,7067.0
98817,71279.0,2.0,366.0
98819,28333.0,1.0,280.0
98821,112318.0,1.0,434.0
98822,47000.0,28.0,2253.0
98823,70472.0,100.0,12393.0
98824,40313.0,0.0,160.0
98826,61470.0,299.0,7280.0
98827,65110.0,0.0,337.0
98828,69362.0,28.0,2419.0
98829,36607.0,0.0,716.0
98830,51771.0,4.0,531.0
98831,52070.0,94.0,3955.0
98832,50625.0,2.0,349.0
98833,69615.0,25.0,240.0
98834,61111.0,4.0,246.0
98836,40653.0,0.0,515.0
98837,60793.0,414.0,46262.0
98840,50788.0,7.0,4731.0
98841,48829.0,25.0,8984.0
98843,56168.0,67.0,2074.0
98844,43306.0,26.0,4599.0
98845,46875.0,2.0,138.0
98846,66622.0,11.0,1074.0
98847,52442.0,27.0,1885.0
98848,64893.0,127.0,13392.0
98849,44632.0,6.0,1220.0
98850,52094.0,16.0,1964.0
98851,47643.0,28.0,4472.0
98855,38933.0,23.0,6115.0
98856,50625.0,57.0,2776.0
98857,42591.0,12.0,3999.0
98858,62645.0,6.0,1620.0
98859,85500.0,0.0,230.0
98860,29583.0,0.0,259.0
98862,59349.0,116.0,2764.0
98901,45062.0,164.0,32351.0
98902,47283.0,198.0,47589.0
98903,56754.0,122.0,17491.0
98908,67016.0,402.0,38205.0
98922,61071.0,286.0,6817.0
98923,40888.0,7.0,1281.0
98925,57031.0,25.0,608.0
98926,59415.0,359.0,32085.0
98930,52145.0,47.0,15339.0
98932,59208.0,9.0,5409.0
98933,63194.0,1.0,1292.0
98934,51364.0,9.0,1164.0
98935,50956.0,10.0,4049.0
98936,78920.0,43.0,6846.0
98937,67170.0,30.0,4423.0
98938,60199.0,11.0,2112.0
98939,33750.0,2.0,194.0
98941,54917.0,25.0,988.0
98942,70660.0,118.0,18511.0
98943,47697.0,4.0,574.0
98944,48041.0,79.0,22412.0
98946,59000.0,7.0,488.0
98947,51776.0,13.0,3133.0
98948,53108.0,19.0,13416.0
98951,49238.0,24.0,13821.0
98952,47837.0,1.0,2347.0
98953,70689.0,42.0,6841.0
99001,54489.0,45.0,8859.0
99003,62477.0,43.0,5302.0
99004,58343.0,195.0,23064.0
99005,103420.0,160.0,10253.0
99006,59400.0,85.0,13711.0
99008,45208.0,4.0,634.0
99009,60469.0,33.0,4096.0
99011,60133.0,21.0,2695.0
99012,59375.0,1.0,1018.0
99013,47500.0,5.0,1914.0
99016,70635.0,319.0,18496.0
99017,33750.0,1.0,167.0
99018,50000.0,3.0,285.0
99019,98453.0,293.0,12813.0
99021,72160.0,94.0,9690.0
99022,76775.0,74.0,8867.0
99023,119107.0,6.0,685.0
99025,73021.0,50.0,5272.0
99026,81701.0,130.0,9347.0
99027,63750.0,63.0,6556.0
99029,77500.0,10.0,1785.0
99030,66375.0,5.0,1131.0
99031,75653.0,12.0,1441.0
99032,61484.0,3.0,773.0
99033,60368.0,4.0,954.0
99036,123664.0,31.0,1579.0
99037,67189.0,189.0,15907.0
99039,55769.0,1.0,121.0
99040,34076.0,2.0,825.0
99101,58125.0,4.0,1517.0
99102,73800.0,1.0,544.0
99103,80357.0,2.0,495.0
99109,50953.0,26.0,5016.0
99110,55341.0,5.0,1853.0
99111,55696.0,29.0,4029.0
99113,62308.0,3.0,722.0
99114,51875.0,65.0,12649.0
99115,54722.0,15.0,1227.0
99116,58819.0,6.0,1476.0
99117,77643.0,1.0,472.0
99118,46563.0,7.0,786.0
99119,54565.0,10.0,1293.0
99122,58482.0,24.0,3989.0
99123,54493.0,6.0,1063.0
99124,46875.0,1.0,244.0
99125,44875.0,3.0,495.0
99126,62672.0,8.0,900.0
99129,37019.0,0.0,808.0
99130,59444.0,5.0,805.0
99131,60179.0,2.0,144.0
99133,41319.0,8.0,1476.0
99134,35333.0,3.0,598.0
99135,60000.0,2.0,288.0
99136,32500.0,0.0,24.0
99137,36250.0,2.0,391.0
99138,39107.0,2.0,1212.0
99139,65673.0,3.0,1178.0
99140,33958.0,0.0,479.0
99141,54957.0,34.0,5737.0
99143,33229.0,1.0,602.0
99144,34583.0,0.0,26.0
99146,17292.0,0.0,81.0
99147,70208.0,4.0,236.0
99148,60195.0,20.0,2324.0
99149,37917.0,1.0,219.0
99150,36125.0,0.0,373.0
99151,41058.0,0.0,215.0
99152,57188.0,1.0,177.0
99153,37098.0,0.0,499.0
99154,104375.0,0.0,24.0
99155,30956.0,1.0,1257.0
99156,59333.0,50.0,8478.0
99157,36131.0,1.0,683.0
99158,58846.0,5.0,595.0
99159,53242.0,9.0,1424.0
99160,22639.0,1.0,86.0
99161,76625.0,27.0,1450.0
99163,33977.0,329.0,34416.0
99166,43730.0,12.0,3011.0
99167,56818.0,4.0,794.0
99169,52827.0,24.0,2487.0
99170,54063.0,11.0,1135.0
99171,57917.0,2.0,975.0
99173,43627.0,5.0,1892.0
99176,44821.0,0.0,169.0
99179,71375.0,4.0,541.0
99180,47583.0,2.0,926.0
99181,52802.0,9.0,2057.0
99185,71477.0,7.0,1374.0
99201,27398.0,172.0,15716.0
99202,47102.0,188.0,21969.0
99203,78655.0,500.0,21072.0
99204,41678.0,76.0,7000.0
99205,56467.0,254.0,44036.0
99206,61615.0,330.0,39842.0
99207,42913.0,128.0,32059.0
99208,65647.0,695.0,58531.0
99212,59643.0,398.0,21672.0
99216,50586.0,178.0,28379.0
99217,62906.0,155.0,19298.0
99218,53125.0,137.0,15591.0
99223,75933.0,547.0,34201.0
99224,66936.0,468.0,24085.0
99301,66678.0,740.0,85272.0
99320,64547.0,85.0,10215.0
99323,69828.0,19.0,3882.0
99324,52403.0,80.0,10226.0
99326,72959.0,13.0,6277.0
99328,65260.0,17.0,3620.0
99330,65735.0,6.0,1061.0
99333,80804.0,0.0,39.0
99335,51250.0,0.0,240.0
99336,52158.0,339.0,51127.0
99337,77854.0,328.0,33458.0
99338,117286.0,452.0,19117.0
99341,58482.0,1.0,788.0
99343,55828.0,7.0,3206.0
99344,53328.0,62.0,18948.0
99345,92500.0,2.0,159.0
99346,63229.0,1.0,345.0
99347,56298.0,3.0,2342.0
99348,64243.0,1.0,1685.0
99349,60500.0,36.0,7960.0
99350,59536.0,88.0,13240.0
99352,81471.0,797.0,35762.0
99353,105115.0,286.0,17934.0
99354,71546.0,345.0,24839.0
99356,61042.0,0.0,290.0
99357,53654.0,24.0,4240.0
99359,43438.0,0.0,155.0
99360,81029.0,8.0,1428.0
99361,68125.0,13.0,1908.0
99362,60413.0,430.0,43249.0
99371,56607.0,1.0,346.0
99401,68672.0,0.0,286.0
99402,54250.0,13.0,1814.0
99403,53663.0,77.0,20224.0
98504,0.0,64.0,
98940,0.0,54.0,933.0
98571,0.0,29.0,483.0
98421,0.0,27.0,1239.0
98355,0.0,13.0,626.0
98158,0.0,10.0,0.0
98535,0.0,9.0,529.0
98562,0.0,7.0,174.0
98634,0.0,6.0,
98035,0.0,6.0,
98647,0.0,5.0,499.0
98582,0.0,5.0,640.0
98330,0.0,4.0,76.0
98124,0.0,4.0,
98344,0.0,4.0,
98256,0.0,3.0,446.0
98235,0.0,3.0,436.0
98438,0.0,3.0,582.0
98641,0.0,3.0,204.0
98314,0.0,3.0,991.0
98206,0.0,2.0,
98536,0.0,2.0,153.0
98401,0.0,2.0,
98493,0.0,2.0,
98950,0.0,2.0,209.0
98921,0.0,1.0,544.0
98668,0.0,1.0,
99329,0.0,1.0,206.0
98509,0.0,1.0,
98544,0.0,1.0,68.0
98267,0.0,1.0,545.0
98417,0.0,1.0,
99251,0.0,1.0,1133.0
99034,0.0,1.0,327.0
98305,0.0,1.0,481.0
99322,0.0,1.0,234.0
99121,0.0,1.0,135.0
98416,0.0,1.0,1478.0
99128,0.0,1.0,315.0
98447,0.0,1.0,1053.0
98853,0.0,1.0,79.0
99321,0.0,1.0,669.0
98411,0.0,1.0,
98507,0.0,1.0,
