zip_code,median_household_income,vehicle_count,P1_001N,vehicle_per_person
98565,58611.0,8.0,448.0,0.017857142857142856
98568,60179.0,27.0,2768.0,0.009754335260115607
98569,47399.0,163.0,6964.0,0.023406088454910972
98570,65161.0,41.0,4489.0,0.00913343729115616
98572,63523.0,3.0,795.0,0.0037735849056603774
98575,63958.0,2.0,129.0,0.015503875968992248
98576,69033.0,75.0,5388.0,0.013919821826280624
98577,59603.0,54.0,6708.0,0.008050089445438283
98579,77108.0,140.0,13648.0,0.010257913247362251
98580,80864.0,156.0,12164.0,0.012824728707661954
98581,29960.0,2.0,421.0,0.004750593824228029
98583,41964.0,1.0,144.0,0.006944444444444444
98584,60388.0,507.0,39266.0,0.012911933988692507
98585,53125.0,9.0,826.0,0.010895883777239709
98586,45446.0,7.0,1981.0,0.0035335689045936395
98587,39821.0,6.0,1186.0,0.00505902192242833
98588,60781.0,37.0,1970.0,0.018781725888324875
98589,70040.0,115.0,8091.0,0.01421332344580398
98590,90898.0,8.0,376.0,0.02127659574468085
98591,64919.0,42.0,4419.0,0.009504412763068567
98592,68371.0,61.0,2090.0,0.029186602870813396
98593,46850.0,11.0,1185.0,0.009282700421940928
98595,53750.0,35.0,2995.0,0.011686143572621035
98596,64896.0,76.0,6990.0,0.010872675250357653
98597,73664.0,371.0,27233.0,0.013623177762273711
98601,85000.0,23.0,3312.0,0.006944444444444444
98602,36250.0,0.0,250.0,0.0
98603,61875.0,22.0,1018.0,0.021611001964636542
98604,86980.0,720.0,38245.0,0.01882599032553275
98605,71458.0,11.0,1267.0,0.008681925808997633
98606,105417.0,364.0,9868.0,0.03688690717470612
98607,109621.0,1949.0,35054.0,0.05559993153420437
98610,58574.0,27.0,3017.0,0.008949287371561154
98611,64829.0,104.0,10165.0,0.010231185440236105
98612,56250.0,58.0,3032.0,0.01912928759894459
98613,68500.0,4.0,543.0,0.007366482504604052
98614,40323.0,3.0,651.0,0.004608294930875576
98616,64250.0,2.0,200.0,0.01
98617,57772.0,13.0,1183.0,0.01098901098901099
98619,48889.0,1.0,465.0,0.002150537634408602
98620,48522.0,38.0,7655.0,0.00496407576747224
98621,61979.0,3.0,253.0,0.011857707509881422
98624,51786.0,19.0,1305.0,0.014559386973180077
98625,92770.0,148.0,7413.0,0.019964926480507218
98626,59058.0,228.0,26291.0,0.008672169183370736
98628,35125.0,1.0,356.0,0.0028089887640449437
98629,100275.0,239.0,9586.0,0.024932192781139163
98631,46186.0,54.0,3704.0,0.014578833693304536
98632,51188.0,414.0,50721.0,0.008162299639202697
98635,50134.0,32.0,1865.0,0.017158176943699734
98638,49929.0,21.0,1555.0,0.013504823151125401
98639,73145.0,14.0,1397.0,0.010021474588403722
98640,49600.0,84.0,5140.0,0.01634241245136187
98642,97288.0,1153.0,23685.0,0.04868059953557104
98643,86458.0,3.0,403.0,0.007444168734491315
98644,24821.0,6.0,887.0,0.006764374295377677
98645,79821.0,31.0,1811.0,0.017117614577581448
98648,63750.0,57.0,3075.0,0.018536585365853658
98649,54087.0,6.0,1134.0,0.005291005291005291
98650,61964.0,34.0,1158.0,0.02936096718480138
98651,107188.0,37.0,872.0,0.04243119266055046
98660,50407.0,389.0,12735.0,0.03054574008637613
98661,59466.0,798.0,48983.0,0.01629136639242186
98662,71059.0,671.0,37134.0,0.018069693542306243
98663,62835.0,305.0,15188.0,0.020081643402686332
98664,67007.0,469.0,24120.0,0.019444444444444445
98665,69524.0,594.0,28780.0,0.020639332870048644
98670,25417.0,3.0,113.0,0.02654867256637168
98671,91505.0,711.0,24857.0,0.0286036126644406
