GEO_ID,NAME,P1_001N
860Z200US98830,ZCTA5 98830,531
860Z200US98831,ZCTA5 98831,3955
860Z200US98832,ZCTA5 98832,349
860Z200US98833,ZCTA5 98833,240
860Z200US98834,ZCTA5 98834,246
860Z200US98836,ZCTA5 98836,515
860Z200US98837,ZCTA5 98837,46262
860Z200US98840,ZCTA5 98840,4731
860Z200US98841,ZCTA5 98841,8984
860Z200US98843,ZCTA5 98843,2074
860Z200US98844,ZCTA5 98844,4599
860Z200US98845,ZCTA5 98845,138
860Z200US98846,ZCTA5 98846,1074
860Z200US98847,ZCTA5 98847,1885
860Z200US98848,ZCTA5 98848,13392
860Z200US98849,ZCTA5 98849,1220
860Z200US98850,ZCTA5 98850,1964
860Z200US98851,ZCTA5 98851,4472
860Z200US98852,ZCTA5 98852,91
860Z200US98853,ZCTA5 98853,79
860Z200US98855,ZCTA5 98855,6115
860Z200US98856,ZCTA5 98856,2776
860Z200US98857,ZCTA5 98857,3999
860Z200US98858,ZCTA5 98858,1620
860Z200US98859,ZCTA5 98859,230
860Z200US98860,ZCTA5 98860,259
860Z200US98862,ZCTA5 98862,2764
860Z200US98901,ZCTA5 98901,32351
860Z200US98902,ZCTA5 98902,47589
860Z200US98903,ZCTA5 98903,17491
860Z200US98908,ZCTA5 98908,38205
860Z200US98921,ZCTA5 98921,544
860Z200US98922,ZCTA5 98922,6817
860Z200US98923,ZCTA5 98923,1281
860Z200US98925,ZCTA5 98925,608
860Z200US98926,ZCTA5 98926,32085
860Z200US98930,ZCTA5 98930,15339
860Z200US98932,ZCTA5 98932,5409
860Z200US98933,ZCTA5 98933,1292
860Z200US98934,ZCTA5 98934,1164
860Z200US98935,ZCTA5 98935,4049
860Z200US98936,ZCTA5 98936,6846
860Z200US98937,ZCTA5 98937,4423
860Z200US98938,ZCTA5 98938,2112
860Z200US98939,ZCTA5 98939,194
860Z200US98940,ZCTA5 98940,933
860Z200US98941,ZCTA5 98941,988
860Z200US98942,ZCTA5 98942,18511
860Z200US98943,ZCTA5 98943,574
860Z200US98944,ZCTA5 98944,22412
860Z200US98946,ZCTA5 98946,488
860Z200US98947,ZCTA5 98947,3133
860Z200US98948,ZCTA5 98948,13416
860Z200US98950,ZCTA5 98950,209
860Z200US98951,ZCTA5 98951,13821
860Z200US98952,ZCTA5 98952,2347
860Z200US98953,ZCTA5 98953,6841
860Z200US99001,ZCTA5 99001,8859
860Z200US99003,ZCTA5 99003,5302
860Z200US99004,ZCTA5 99004,23064
860Z200US99005,ZCTA5 99005,10253
860Z200US99006,ZCTA5 99006,13711
860Z200US99008,ZCTA5 99008,634
860Z200US99009,ZCTA5 99009,4096
860Z200US99011,ZCTA5 99011,2695
860Z200US99012,ZCTA5 99012,1018
860Z200US99013,ZCTA5 99013,1914
860Z200US99014,ZCTA5 99014,72
860Z200US99016,ZCTA5 99016,18496
860Z200US99017,ZCTA5 99017,167
860Z200US99018,ZCTA5 99018,285
860Z200US99019,ZCTA5 99019,12813
860Z200US99020,ZCTA5 99020,52
860Z200US99021,ZCTA5 99021,9690
860Z200US99022,ZCTA5 99022,8867
860Z200US99023,ZCTA5 99023,685
860Z200US99025,ZCTA5 99025,5272
860Z200US99026,ZCTA5 99026,9347
860Z200US99027,ZCTA5 99027,6556
860Z200US99029,ZCTA5 99029,1785
860Z200US99030,ZCTA5 99030,1131
860Z200US99031,ZCTA5 99031,1441
860Z200US99032,ZCTA5 99032,773
860Z200US99033,ZCTA5 99033,954
860Z200US99034,ZCTA5 99034,327
860Z200US99036,ZCTA5 99036,1579
860Z200US99037,ZCTA5 99037,15907
860Z200US99039,ZCTA5 99039,121
860Z200US99040,ZCTA5 99040,825
860Z200US99101,ZCTA5 99101,1517
860Z200US99102,ZCTA5 99102,544
860Z200US99103,ZCTA5 99103,495
860Z200US99105,ZCTA5 99105,62
860Z200US99109,ZCTA5 99109,5016
860Z200US99110,ZCTA5 99110,1853
860Z200US99111,ZCTA5 99111,4029
860Z200US99113,ZCTA5 99113,722
860Z200US99114,ZCTA5 99114,12649
860Z200US99115,ZCTA5 99115,1227
860Z200US99116,ZCTA5 99116,1476
860Z200US99117,ZCTA5 99117,472
860Z200US99118,ZCTA5 99118,786
860Z200US99119,ZCTA5 99119,1293
860Z200US99121,ZCTA5 99121,135
860Z200US99122,ZCTA5 99122,3989
860Z200US99123,ZCTA5 99123,1063
860Z200US99124,ZCTA5 99124,244
860Z200US99125,ZCTA5 99125,495
860Z200US99126,ZCTA5 99126,900
860Z200US99128,ZCTA5 99128,315
860Z200US99129,ZCTA5 99129,808
860Z200US99130,ZCTA5 99130,805
860Z200US99131,ZCTA5 99131,144
860Z200US99133,ZCTA5 99133,1476
860Z200US99134,ZCTA5 99134,598
860Z200US99135,ZCTA5 99135,288
860Z200US99136,ZCTA5 99136,24
860Z200US99137,ZCTA5 99137,391
860Z200US99138,ZCTA5 99138,1212
860Z200US99139,ZCTA5 99139,1178
860Z200US99140,ZCTA5 99140,479
860Z200US99141,ZCTA5 99141,5737
860Z200US99143,ZCTA5 99143,602
860Z200US99144,ZCTA5 99144,26
860Z200US99146,ZCTA5 99146,81
860Z200US99147,ZCTA5 99147,236
860Z200US99148,ZCTA5 99148,2324
860Z200US99149,ZCTA5 99149,219
860Z200US99150,ZCTA5 99150,373
860Z200US99151,ZCTA5 99151,215
860Z200US99152,ZCTA5 99152,177
860Z200US99153,ZCTA5 99153,499
860Z200US99154,ZCTA5 99154,24
860Z200US99155,ZCTA5 99155,1257
860Z200US99156,ZCTA5 99156,8478
860Z200US99157,ZCTA5 99157,683
860Z200US99158,ZCTA5 99158,595
860Z200US99159,ZCTA5 99159,1424
860Z200US99160,ZCTA5 99160,86
860Z200US99161,ZCTA5 99161,1450
860Z200US99163,ZCTA5 99163,34416
860Z200US99166,ZCTA5 99166,3011
860Z200US99167,ZCTA5 99167,794
860Z200US99169,ZCTA5 99169,2487
860Z200US99170,ZCTA5 99170,1135
860Z200US99171,ZCTA5 99171,975
860Z200US99173,ZCTA5 99173,1892
860Z200US99174,ZCTA5 99174,66
860Z200US99176,ZCTA5 99176,169
860Z200US99179,ZCTA5 99179,541
860Z200US99180,ZCTA5 99180,926
860Z200US99181,ZCTA5 99181,2057
860Z200US99185,ZCTA5 99185,1374
860Z200US99201,ZCTA5 99201,15716
860Z200US99202,ZCTA5 99202,21969
860Z200US99203,ZCTA5 99203,21072
860Z200US99204,ZCTA5 99204,7000
860Z200US99205,ZCTA5 99205,44036
860Z200US99206,ZCTA5 99206,39842
860Z200US99207,ZCTA5 99207,32059
860Z200US99208,ZCTA5 99208,58531
860Z200US99212,ZCTA5 99212,21672
860Z200US99216,ZCTA5 99216,28379
860Z200US99217,ZCTA5 99217,19298
860Z200US99218,ZCTA5 99218,15591
860Z200US99223,ZCTA5 99223,34201
860Z200US99224,ZCTA5 99224,24085
860Z200US99251,ZCTA5 99251,1133
860Z200US99258,ZCTA5 99258,530
860Z200US99301,ZCTA5 99301,85272
860Z200US99320,ZCTA5 99320,10215
860Z200US99321,ZCTA5 99321,669
860Z200US99322,ZCTA5 99322,234
860Z200US99323,ZCTA5 99323,3882
860Z200US99324,ZCTA5 99324,10226
860Z200US99326,ZCTA5 99326,6277
860Z200US99328,ZCTA5 99328,3620
860Z200US99329,ZCTA5 99329,206
860Z200US99330,ZCTA5 99330,1061
860Z200US99333,ZCTA5 99333,39
860Z200US99335,ZCTA5 99335,240
860Z200US99336,ZCTA5 99336,51127
860Z200US99337,ZCTA5 99337,33458
860Z200US99338,ZCTA5 99338,19117
860Z200US99341,ZCTA5 99341,788
